new_variable_name,definition,type,rowwise,notes
has_afib_at_admission,"during_afib %in% 1 & during_afib_date==admission_date","Binary",0,
existing_afib,"medhist_afib %in% 1 | has_afib_at_admission %in% 1 | presenting_ekg_rhythm %in% 'Atrial fibrillation'","Binary",0,
existing_flutter,"medhist_flutter %in% 1 | presenting_ekg_rhythm %in% 'Atrial flutter'","Binary",0,
,,,,
has_dvt_at_admission,"during_dvt %in% 1 & during_dvt_date==admission_date","Binary",0,
existing_dvt,"medhist_dvt %in% 1 | has_dvt_at_admission %in% 1","Binary",0,
,,,,
has_pe_at_admission,"during_pe %in% 1 & during_pe_date==admission_date","Binary",0,
existing_pe,"medhist_pe %in% 1 | has_pe_at_admission","Binary",0,
,,,,
existing_anticoag,"prior_anticoag %in% 1","Binary",0,
,,,,
ami_at_adm,"during_ami_any %in% 1 & during_ami_date==admission_date","Binary",0,
bleeding_at_adm,"clinical_bleeding_transfusion %in% 1 & clinical_bleeding_transfusion_date==admission_date","Binary",0,
ischemic_stroke_at_adm,"ischemic_stroke_ichemorrhage %in% 1 & ischemic_stroke_ichemorrhage_date==admission_date","Binary",0,
,,,,
meets_exclusion_criteria,"ami_at_adm|bleeding_at_adm|ischemic_stroke_at_adm|existing_afib|existing_flutter|existing_dvt|existing_pe|existing_anticoag","Binary",0,"Vector of true/false to identify excluded subjects"
,,,,
hispanic_race,"race == 'Hispanic'","Binary",0,
nonhispanic_white_race,"race == 'Non-Hispanic White'","Binary",0,
nonhispanic_black_race,"race == 'Non-Hispanic Black'","Binary",0,
,,,,
on_aspirin_p2y12_before_adm,"on_aspirin_before_adm==1 | on_p2y12_before_adm==1","Binary",0,
days_symptoms_to_admission,"as.numeric(as_date(admission_date) - as_date(symptom_start_date))","Continuous",0,
days_diagnosis_to_admission,"as.numeric(as_date(admission_date) - as_date(diagnosis_date))","Continuous",0,
,,,,
wbc_mcl,"ifelse(admission_wbc_units == 'mcL', admission_wbc, NA)","Continuous",0,
wbc_mcl,"ifelse(admission_wbc_units == 'K/uL', admission_wbc * 1000, wbc_mcl)","Continuous",0,"One K/uL is one-thousand mcL"
serum_creatinine_mgdl,"ifelse(admission_serum_creatinine_units == 'mg/dL', admission_serum_creatinine, NA)","Continuous",0,
serum_creatinine_mgdl,"ifelse(admission_serum_creatinine_units == 'micromole/L', admission_serum_creatinine * 0.0113, serum_creatinine_mgdl)","Continuous",0,"Regarding SCr: To convert μmol/l to mg/dl multiply by 0.0113"
troponin_ngml,"ifelse(admission_troponin_units == 'ng/mL', admission_troponin, NA)","Continuous",0,
troponin_ngml,"ifelse(admission_troponin_units == 'ug/L', admission_troponin, troponin_ngml)","Continuous",0,"No conversion needed; they are equivalent"
troponin_ngml,"ifelse(admission_troponin_units == 'ng/L', admission_troponin * 0.001, troponin_ngml)","Continuous",0,"One ng/L is 0.001 ng/mL"
ntprobnp_pgml,"ifelse(admission_ntprobnp_units == 'pg/mL', admission_ntprobnp, NA)","Continuous",0,
ntprobnp_pgml,"ifelse(admission_ntprobnp_units == 'ng/L', admission_ntprobnp, ntprobnp_pgml)","Continuous",0,"No conversion needed; they are equivalent"
