variable_name,label,notes
age_years,"Age (years)",
sex_male,"Sex, male",
admission_bmi,"Body-mass index",
hispanic_race,'Hispanic',
nonhispanic_white_race,'Non-Hispanic White',
nonhispanic_black_race,'Non-Hispanic Black',
medhist_cancer,'Cancer',
medhist_stroke,'Stroke',
medhist_ckd,'Chronic kidney disease',
medhist_on_dialysis,'On dialysis',
medhist_diabetes,'Diabetes mellitus',
medhist_dyslipidemia,'Dyslipidemia',
medhist_heart_failure,'Heart failure',
medhist_hypertension,'Hypertension',
medhist_pad,'Peripheral artery disease',
medhist_mi,'Prior MI',
medhist_cabg,'Prior CABG',
medhist_pci,'Prior PCI',
medhist_immune_disorder,'Immune disorders',
medhist_organ_transplant,'Organ transplant',
medhist_pulmonary_disease,'Pulmonary disease',
medhist_smoking,'Smoking',
on_hypertensive_before_adm,'Taking anti-hypertensives',
on_lipidtherapy_before_adm,'Taking lipid lowering therapy',
on_antiplatelet_before_adm,'Taking anti-platelet therapy',
on_aspirin_p2y12_before_adm,'Taking aspirin or P2Y12 inhibitors',
on_antihyperglycemic_before_adm,'Taking anti-hyperglyemics',
on_corticosteroid_before_adm,'Taking corticosteroid',
on_immunesuppressmed_before_adm,'Taking immunosuppressive medication',
on_hydroxychloroquin_before_adm,'Taking hydroxychloroquinn',
days_symptoms_to_admission,'Days from symptoms to admission',
days_diagnosis_to_admission,'Days from diagnosis to admission',
in_covid_trial,'In a COVID-19 clinical trial',
wbc_mcl,'WBC (mcL)',
admission_hba1c,"HbA1c (%)",
admission_platelet,"Platelets (K/uL)",
admission_total_bili,"Total bilirubin (mg/dL)",
serum_creatinine_mgdl,"Serum creatinine (mg/dL)",
troponin_ngml,"Troponin (ng/mL)",
ntprobnp_pgml,"NT-proBNP (pg/mL)",
bnp_pgml,"BNP (pg/mL)",

