orig_var,orig_level,new_var,new_level,type,notes
FACILITY_DISPLAY_ID,NA,facility_display_id,NA,"ID",
PATIENT_DISPLAY_ID,NA,patient_display_id,NA,"ID",
CASE_ID,NA,case_id,NA,"ID",
AHA_ID,NA,aha_id,NA,"ID",
ADMDT,NA,admission_date,NA,"Date",
AGEi,NA,age_years,NA,,
SEXi,1,sex_male,1,,
SEXi,2,sex_male,0,,"'Unknown' sex is SEXi=3 but not used here"
RACEi,1,race,"Hispanic",,
RACEi,2,race,"Non-Hispanic Black",,
RACEi,3,race,"Native American",,
RACEi,4,race,"Asian",,
RACEi,5,race,"Pacific Islander",,
RACEi,6,race,"Non-Hispanic White",,
RACEi,7,race,"Unable to be Determined",,
BMIadmit,NA,BMI,NA,,
MEDHISTO_01,,,,,
MEDHISTO_02,,,,,
AFibPres,,,,,
AFibPresSDT,,,,,
MEDHISTO_19,,,,,
MEDHISTO_27,,,,,
DVTDT,,,,,
ANTICOAG,,,,,
ANTCOGDVTPRO,,,,,
SUBQLMNWHLWDOS,,,,,
SUBQLMWHINTRDOS,,,,,
SUBQLMWHTHRPDOS,,,,,
SUBQUFH,,,,,
PARNTLUFH,,,,,
SUBQLMWH,,,,,
DOAC,,,,,
WARFARIN,,,,,
ARGTRBAN,,,,,
BVALRDIN,,,,,
DVT,,,,,
PULEMB,,,,,
PULEMBDT,,,,,
INTTHROMB,,,,,
INTTHROMDT,,,,,
ACUTLMBISCH,,,,,
ACUTLMBISCDT,,,,,
ACTMYOINF,,,,,
PATMANICU,,,,,
DDMER,,,,,
DDMERU,,,,,
PAO2,,,,,
FIO2,,,,,
DSCHSTAT,1,discharge_status,"Home",,
DSCHSTAT,2,discharge_status,"Hospice - Home",,
DSCHSTAT,3,discharge_status,"Hospice - Health Care Facility",,
DSCHSTAT,4,discharge_status,"Acute Care Facility",,
DSCHSTAT,5,discharge_status,"Other Health Care Facility",,
DSCHSTAT,6,discharge_status,"Expired",,
DSCHSTAT,7,discharge_status,"Left Against Medical Advice/AMA",,
CAUSDTH,1,cause_of_death,"AMI",,
CAUSDTH,2,cause_of_death,"Arrhythmia",,
CAUSDTH,3,cause_of_death,"HF",,
CAUSDTH,4,cause_of_death,"Respiratory",,
CAUSDTH,5,cause_of_death,"Stroke",,
CAUSDTH,6,cause_of_death,"Other",,
ANTCOAGPRES,1,anticoag_presenting,"Direct Thrombin Inhibitor",,
ANTCOAGPRES,2,anticoag_presenting,"Factor Xa Inhibitor",,
ANTCOAGPRES,3,anticoag_presenting,"Warfarin",,
ANTCOAGPRES,4,anticoag_presenting,"Other Anticoagulant",,
ANTICOAGDVT,1,anticoag_dvt,"Full Dose DOAC",,
ANTICOAGDVT,2,anticoag_dvt,"Full Dose Enoxaperin",,
ANTICOAGDVT,3,anticoag_dvt,"Low Dose DOAC",,
ANTICOAGDVT,4,anticoag_dvt,"Low Dose Enoxaperin",,
